reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOFxf3fttcT5DSvFIn9KPp5FErgH9yC533FmoxvwtULxu2YBbXfmhq6970jW2OET7OjXuTNPbUz82cWbAtk,Donna Caritero,https://play-lh.googleusercontent.com/a-/AOh14Gg4pUoP3Bc6Lgata4x9jnR4bwKnT_eyLAMWaHs7fg,Overall it's really an amazing app. I've been using this for the past 5 years however I only have one issue though and I wanted this to get address since I think this issue had lasted for how many years? The texts were blurred and when you zoom it out it's pixelated. I thought this issue only occurs on mobile apps however it was also present on the website. Please fix this. I still remember the time when I can export high definition texts and I love that experience. Thank you!,4,528,2.116.0,2021-06-17 07:18:54,"Hi Donna. We are sorry that your text or design turned out pixelated or poor quality. Check this link for possible reasons: https://bit.ly/2Pxkphr. For other concerns, report it at canva.me/android. Regards. - Ahn
",2021-06-19 21:24:32
gp:AOqpTOEq6rNIWLnPV4KFTctWvm0mpGEQljtD6mvy1H-F1hD4TQaLg-fgsVyTLNaHOWFpVUEtAgJ-9ynp_vKWE3Y,Soumi Mukhopadhyay,https://play-lh.googleusercontent.com/a-/AOh14Ghv6nzkP8W4xDBH0PfDbiDNSxlKbWGh_6s6U3avzg,Hey! Yes I gave a 5 star rating... coz I believe it deserves it! I mostly use the desktop version and I am seriously so satisfied with this app in both android and desktop version. I just came here to thank the developers for this beautiful app and its facilities. I literally find almost everything that I need for and the best part is even without the premium feature it provides us with a lot many facilities. I love it! Thank you..! ❤,5,351,2.116.0,2021-06-17 19:18:28,,
gp:AOqpTOE86hSyPRHZgYt28Uk5zGe4FZGb1hkmtFDiYJ2cGNaFzlL9r2gGkuuAVsO2Wf4kJdx8hIo4rgo9G3fBzMg,Theknown _unknown,https://play-lh.googleusercontent.com/a-/AOh14Gj__jHxXtCA8Q8vSwg1YM4df4OBUfySLJezPRJi,"Canva used to be a good app! But recently I've been facing issues in saving my files. When I want my files to be saved in '.png' format, it gets saved in .jpg format! Moreover when I want my files to be saved it gets stuck at the downloading screen (where your so called magic does not happen) For now you'll be getting 1 stars from me. I hope you will fix the app soon! Thank you .",1,160,2.116.0,2021-06-23 19:13:28,"Hi there. We're sorry to hear that you are having trouble with the app. We will make sure to take note of this for us to improve the app. For us to check, kindly send us a screenshot or a recording of the issue and send it through canva.me/android. Kindly keep an eye to our future updates with performance improvements. Thank you -Gel",2021-06-26 20:20:56
gp:AOqpTOHSuKkVTcM3QgCCKysHQlxEnk2ocOKsUMiMIJyZU1Rqn_oOS3M9RveVZrxn8r0v8DT1u0GO7XQQLXjdRqA,Anthony Dean,https://play-lh.googleusercontent.com/a/AATXAJza0BHQCi5Q8fF3nON5eWh1Ltomm4u1vYx1W4sa1A=mo,"It's a brilliant app, but I have just one problem, if I'm editing a post and I double tap the photo to reposition, if I then start to zoom the photo, 8 times out of 10 my app crashes and restarts, this is on my LG G5 SE, sometimes I've had to go over to the desktop version on my PC just to reposition and zoom the photo where I want it to then resume editing back on my mobile.",5,145,2.116.0,2021-06-19 23:36:07,,
gp:AOqpTOEOrZt5H6jXPiplJyffCd5ZBnVXACTWgwNsF1REZ7FuxDSaFjjVJ2N84Gtp725ajCnBfzJOaDqEunJhw7A,Neha Diana Wesley,https://play-lh.googleusercontent.com/a-/AOh14GgtidyBWdKxdyruTkDKRfUbuN2Ik3l0i8pCnz7IRA,"This was such a great app. I used to make BTS memes through this. But after recent update... I'm not able to change my font style. The edit option of font is missing. I tried uninstalling and installing the app, but still it's isn't working. The edit option for font is appearing very rarely. The previous version was far better. Canva could you please work on it! 💜",4,142,2.116.0,2021-06-21 00:29:27,"Hi Neha. Sorry to hear that you are unable to edit the text on your design. Try closing Canva and re-open the app. Please visit https://bit.ly/34nRMXC and https://bit.ly/3cXqShj for guides or tutorials. Update the app to get new features. If the issue recurs, report it at canva.me/android. Regards. - Ahn",2021-06-24 20:46:28
gp:AOqpTOGH3JKY8DPnqt417vG2gkV8QTNF6qyafu0XSS1uIh20Tsn6NwMR9ZvgrdO9DJJg-ORYSCp7t5jCkLh4QTk,Agber Jeremiah,https://play-lh.googleusercontent.com/a/AATXAJwtbj7WVL224uG7Yy270wUcSYFT0WTazavWuzg_Ew=mo,The app is really great given to the fact that this is my first time giving a review about an app. It's great in creating logos and fliers for small companies and businesses although I gave it 4 stars because it needs data to operate and I'll love to see newer versions where I don't have to use data to use the app. Great job!,4,118,2.115.0,2021-06-23 22:21:08,"Sorry that you are unable to utilize the app if you are offline, Agber. Note that Canva requires an internet connection to ensure that your design will save properly. I will make sure to pass your thoughts to our product team for future updates. Update the app to get new features. For other concerns, reach us at canva.me/android. - Ahn",2021-06-27 17:50:10
gp:AOqpTOHKIIrwY6DEPzOB4fG0v-9O-FmcmHhDWPed5i7L9cRH3jzzNlP_zNPbYg-MvvBFZcG95XgqEBZ32PX58oM,Val Fastenau,https://play-lh.googleusercontent.com/a-/AOh14GiXV_v3g_jLZj-GAHHbaBuGjeDcdh-GYhWpYTWiuA,Canva is a great app for basic designs and does its job very well! I'm only rating 2 stars because they keep taking features away from the free version and putting them behind a subscription wall rather than creating new features or adding new fonts and graphics to premium. I also feel that the subscription price of 12.99/mo is pretty steep for someone that isn't using it for a business every single day and only wants a handful of fonts.,2,114,2.116.0,2021-06-23 23:06:40,"Hi there. The app is free to install but when you use premium elements in your design, you will be asked to pay. We add more free elements in every update. Kindly keep an eye to our future updates with performance improvements. For concerns, reach us at canva.me/android. -Gel
",2021-06-26 20:11:48
gp:AOqpTOHpGuvdY-G1z8xpRB3ZJj0PGSKce2fXcJWlLsS71sjP8q1SDGILf3WAYIga6_wHlj4jRllefhwWXrrOgQA,shinakshi jha,https://play-lh.googleusercontent.com/a-/AOh14Gj0O3zi5tinavn6wNMctUE37FS1-kXPH4Imh3nh8w,"I using this app last 2 months. And i use for making thumbnails, banner and video watermark. My thumbnails are looking so much attractive from this app. That's many people attract and come to my videos. I give 5 stars. But there are so many ads. But still I love this app. Thank you for making this wonderful app. Thank you",5,112,2.116.0,2021-06-21 03:40:22,,
gp:AOqpTOGeEymHGzDBpofwvRBapebXthxjuJj2AQz4bO2KJBV1zkTBmbfgXYaFSdpLs7wYGHufQ-v344425VSOsek,3B SHOP,https://play-lh.googleusercontent.com/a-/AOh14GgajpUyQiW6HSTxe6cgjqyfz57uvTI-_kB0GJTV,"Superb user interface. Just finish editing our first video. Wondering how awesome is the paid version. I hope this app can make product labels, or can put our labels to the mock up bottles for example just like the full function for adobe, which is kind of need some skill set to do. We prefer easy editing just like this app. Thank You Canva❤️",5,102,2.116.0,2021-06-17 06:20:07,,
gp:AOqpTOEgj0y7hFyIFiomcZZn9NsLoQrzoUROSBPmqAoHpMNSUbZRBZCWa-0bgZblXh-Nvih62YQwEE-tueQryyE,Rays Sun,https://play-lh.googleusercontent.com/a/AATXAJyWfJ4FB1k0Gno9itlEuFrXbKfbqo9hK29oqBnV=mo,"When I started trial everything works pretty well and so I decided to purchased every month and guess what! Every video I edited and saved was never been save at all even if how many times I tried, it was said was saved but when I check on my files it was not there, never been seen, and all pictures and caption is so blurred! And so I need to screenshoot and crop after so that I can use my edited design! What happen canva? So waste of moneyyyy!!!!!! I hope you can do solve this problem! Please",1,101,2.116.0,2021-06-21 12:59:18,"Hi there. We're sorry to hear that you are having trouble with the app. We will make sure to take note of this for us to improve the app. For us to check, kindly send us a screenshot or a recording of the issue and send it through canva.me/android. Kindly keep an eye to our future updates with performance improvements. Thank you -Gel",2021-06-23 13:33:57
